Date,Time,Temp,pH ,ORP,EC,RES,TDS,Salinity,Pressure,D.O.,Turbidity
17-02-2020,17:04:52,20.67,8.4,88.6,470,2128,306,0.23,14.568,101.5,36.7
17-02-2020,17:05:02,20.67,8.4,88.5,470,2128,305,0.23,14.569,101.4,42.4
17-02-2020,17:05:12,20.67,8.4,88.2,470,2128,305,0.23,14.569,101.5,38.2
17-02-2020,17:05:22,20.67,8.4,87.9,470,2128,305,0.23,14.567,101.7,38
17-02-2020,17:05:32,20.68,8.41,87.8,469,2132,305,0.23,14.566,101.7,46.8
17-02-2020,17:05:42,20.68,8.41,87.6,469,2132,305,0.23,14.571,101.5,40.7
17-02-2020,17:05:52,20.68,8.41,87.5,469,2132,305,0.23,14.57,101.8,45.5
17-02-2020,17:06:02,20.67,8.43,86.9,466,2146,303,0.22,14.569,101.9,30.7
17-02-2020,17:06:12,20.56,8.53,83.9,456,2193,297,0.22,14.569,102.1,19.5
17-02-2020,17:06:22,20.52,8.59,81.6,454,2203,295,0.22,14.567,104.7,22.9
17-02-2020,17:06:32,20.39,8.76,76.3,441,2268,287,0.21,14.567,107,17.8
17-02-2020,17:06:42,20.17,8.98,70.5,435,2299,283,0.21,14.567,110.4,13.7
17-02-2020,17:06:52,20.17,8.98,69.7,437,2288,284,0.21,14.568,111.7,13.9
17-02-2020,17:07:02,20.24,8.89,69.1,446,2242,290,0.21,14.568,111.7,15.8
17-02-2020,17:07:12,20.17,8.98,66.8,438,2283,285,0.21,14.567,112.8,14.9
17-02-2020,17:07:22,20.16,8.99,65.7,435,2299,283,0.21,14.567,113.3,13.8
17-02-2020,17:07:32,20.11,9.04,65.4,430,2326,280,0.21,14.569,114,14.8
17-02-2020,17:07:42,20.13,9.02,65.7,432,2315,281,0.21,14.568,114.2,15.7
17-02-2020,17:07:52,20.12,9.03,65.1,431,2320,280,0.21,14.572,114.3,14.8
17-02-2020,17:08:02,20.08,9.05,65.7,429,2331,279,0.21,14.57,114.6,14.1
17-02-2020,17:08:12,20.1,9.04,66.9,428,2336,278,0.21,14.569,114.8,13.9
17-02-2020,17:08:22,20.09,9.04,67.8,429,2331,279,0.21,14.569,115,15.1
17-02-2020,17:08:32,20.09,9.05,68.5,428,2336,278,0.21,14.57,115.1,14.1
17-02-2020,17:08:42,20.11,9.04,69.1,428,2336,279,0.21,14.566,115.1,14.4
17-02-2020,17:08:52,20.1,9.04,68.7,428,2336,278,0.21,14.565,115.1,14.8
17-02-2020,17:09:02,20.09,9.04,69.3,428,2336,278,0.21,14.568,115.2,14.5
17-02-2020,17:09:12,20.09,9.05,69.9,426,2347,277,0.21,14.571,115.2,14.3
17-02-2020,17:09:22,20.07,9.05,71.2,426,2347,277,0.21,14.57,115.2,13.7
17-02-2020,17:09:32,20.06,9.05,72.4,425,2353,277,0.2,14.567,115.2,12.9
17-02-2020,17:09:42,20.06,9.06,73.7,425,2353,276,0.2,14.569,115.2,13
17-02-2020,17:09:52,20.06,9.05,75,425,2353,276,0.2,14.571,115.2,13.9
17-02-2020,17:10:02,20.06,9.05,76.2,425,2353,276,0.2,14.566,115.2,13.2
17-02-2020,17:10:12,20.05,9.05,77.3,425,2353,276,0.2,14.569,115.2,13.2
17-02-2020,17:10:22,20.06,9.05,78.3,425,2353,276,0.2,14.571,115.2,12.6
17-02-2020,17:10:32,20.07,9.05,79.3,424,2358,276,0.2,14.567,115.3,12.7
17-02-2020,17:10:42,20.04,9.05,80.4,424,2358,276,0.2,14.567,115.2,12.6
17-02-2020,17:10:52,20.05,9.05,81.3,424,2358,275,0.2,14.568,115.2,12.2
17-02-2020,17:11:02,20.04,9.05,82.2,423,2364,275,0.2,14.569,115.2,12.4
17-02-2020,17:11:12,20.06,9.05,83.1,423,2364,275,0.2,14.571,115.2,12.2
17-02-2020,17:11:22,20.04,9.06,83.9,423,2364,275,0.2,14.566,115.2,12.5
17-02-2020,17:11:32,20.04,9.06,84.8,423,2364,275,0.2,14.569,115.3,12.5
17-02-2020,17:11:42,20.04,9.06,85.6,423,2364,275,0.2,14.567,115.3,12.2
17-02-2020,17:11:52,20.05,9.06,86.2,423,2364,275,0.2,14.566,115.3,12.9
17-02-2020,17:12:02,20.04,9.06,86.8,424,2358,275,0.2,14.565,115.3,12.6
17-02-2020,17:12:12,20.03,9.07,87.5,423,2364,275,0.2,14.566,115.4,12.5
17-02-2020,17:12:22,20.05,9.07,88.1,423,2364,275,0.2,14.566,115.4,12.8
17-02-2020,17:12:32,20.04,9.07,88.7,424,2358,275,0.2,14.564,115.4,12.6
17-02-2020,17:12:42,20.05,9.07,89.4,424,2358,276,0.2,14.563,115.4,13.1
17-02-2020,17:12:52,20.06,9.07,90,424,2358,275,0.2,14.565,115.4,13.6
17-02-2020,17:13:02,20.05,9.07,90.5,423,2364,275,0.2,14.565,115.4,13.4
17-02-2020,17:13:12,20.06,9.07,91,423,2364,275,0.2,14.566,115.4,13.5
17-02-2020,17:13:22,20.06,9.07,91.4,424,2358,275,0.2,14.565,115.5,13.6
17-02-2020,17:13:32,20.08,9.07,91.2,423,2364,275,0.2,14.566,115.4,13.9
17-02-2020,17:13:42,20.07,9.08,91.5,424,2358,275,0.2,14.566,115.4,14.1
17-02-2020,17:13:52,20.06,9.08,91.9,425,2353,276,0.2,14.564,115.4,14.7
17-02-2020,17:14:02,20.07,9.08,92.2,425,2353,276,0.2,14.564,115.4,14.6
17-02-2020,17:14:12,20.07,9.08,92.5,425,2353,276,0.2,14.566,115.4,16.1
17-02-2020,17:14:22,20.08,9.08,92.2,425,2353,276,0.2,14.562,115.4,17
17-02-2020,17:14:32,20.06,9.09,92.2,424,2358,276,0.2,14.56,115.5,14.6
17-02-2020,17:14:42,20.07,9.09,92.4,424,2358,275,0.2,14.563,115.4,14.4
17-02-2020,17:14:52,20.07,9.09,92.9,424,2358,276,0.2,14.562,115.4,15.8
17-02-2020,17:15:02,20.07,9.09,93.4,424,2358,276,0.2,14.567,115.2,15.4
17-02-2020,17:15:12,20.07,9.09,93.8,423,2364,275,0.2,14.565,115.1,16.7
17-02-2020,17:15:22,20.07,9.09,94.4,423,2364,275,0.2,14.565,114.9,15.6
17-02-2020,17:15:32,20.1,9.08,97.1,639,1565,415,0.31,14.563,114.7,92.1
17-02-2020,17:15:42,20.31,8.86,42,641,1560,417,0.31,14.564,112.8,75
17-02-2020,17:15:52,20.23,8.96,-62.9,422,2370,275,0.2,14.565,105,24.5
17-02-2020,17:16:02,20.27,8.96,-58.2,439,2278,286,0.21,14.562,107,19.3
17-02-2020,17:16:12,20.28,8.89,-25.4,576,1736,374,0.28,14.564,112.5,83.4
17-02-2020,17:16:22,21.75,7.92,-86.4,762,1312,496,0.37,14.564,95,154
17-02-2020,17:16:32,22.64,7.54,-121.1,942,1062,612,0.46,14.564,84.8,203
17-02-2020,17:16:42,20.1,9.04,-117.1,426,2347,277,0.21,14.563,105.5,15.8
17-02-2020,17:16:52,20.08,9.07,-79.4,427,2342,277,0.21,14.567,109.4,19.6
17-02-2020,17:17:02,20.08,9.07,-57.4,427,2342,277,0.21,14.565,110.9,24.3
17-02-2020,17:17:12,20.09,9.08,-42.3,426,2347,277,0.21,14.561,111.9,29.4
17-02-2020,17:17:22,20.08,9.08,-31,426,2347,277,0.21,14.562,112.6,23.5
17-02-2020,17:17:32,20.08,9.08,-21.9,426,2347,277,0.2,14.564,113,18.8
17-02-2020,17:17:42,20.08,9.08,-14.4,426,2347,277,0.2,14.567,113.5,20.1
17-02-2020,17:17:52,20.07,9.08,-8,426,2347,277,0.2,14.566,114.2,16.1
17-02-2020,17:18:02,20.06,9.08,-2.6,426,2347,277,0.21,14.566,114.5,15.8
17-02-2020,17:18:12,20.07,9.08,2.2,427,2342,278,0.21,14.562,114.7,16.9
17-02-2020,17:18:22,20.06,9.08,6.5,427,2342,277,0.21,14.563,114.8,15.3
17-02-2020,17:18:32,20.05,9.08,10.4,427,2342,277,0.21,14.564,115,14.5
17-02-2020,17:18:42,20.06,9.08,13.8,426,2347,277,0.21,14.564,115,15.5
17-02-2020,17:18:52,20.07,9.08,16.9,427,2342,277,0.21,14.562,115.1,15.5
17-02-2020,17:19:02,20.06,9.08,19.8,427,2342,277,0.21,14.563,115.2,14.4
17-02-2020,17:19:12,20.07,9.08,22.5,427,2342,277,0.21,14.563,115.3,17.2
17-02-2020,17:19:22,20.07,9.08,24.9,428,2336,278,0.21,14.56,115.3,19.5
17-02-2020,17:19:32,20.07,9.07,27.3,429,2331,279,0.21,14.562,115.5,15.5
17-02-2020,17:19:42,20.02,9.08,29.5,428,2336,278,0.21,14.562,115.6,12.8
17-02-2020,17:19:52,20.01,9.08,31.9,428,2336,278,0.21,14.559,115.5,12.8
17-02-2020,17:20:02,19.97,9.08,34.5,428,2336,278,0.21,14.561,114.9,12.3
17-02-2020,17:20:12,19.95,9.07,36.7,428,2336,278,0.21,14.56,114.9,12.6
17-02-2020,17:20:22,19.94,9.07,38.8,429,2331,279,0.21,14.561,114.7,12.9
17-02-2020,17:20:32,19.93,9.07,40.8,429,2331,279,0.21,14.56,114.5,12.6
17-02-2020,17:20:42,19.95,9.08,42.5,428,2336,278,0.21,14.562,114.5,13
17-02-2020,17:20:52,19.98,9.09,44.1,428,2336,278,0.21,14.563,115,12.5
17-02-2020,17:21:02,20,9.1,45.6,428,2336,278,0.21,14.561,115.6,12.4
17-02-2020,17:21:12,20.06,9.12,46.6,427,2342,278,0.21,14.561,116.9,12.3
17-02-2020,17:21:22,20.07,9.13,48.1,427,2342,278,0.21,14.564,117.9,12.8
17-02-2020,17:21:32,20.09,9.14,49.5,427,2342,277,0.21,14.561,118.2,12.2
17-02-2020,17:21:42,20.11,9.14,50.9,426,2347,277,0.21,14.562,118.4,12.1
17-02-2020,17:21:52,20.11,9.14,52.3,426,2347,277,0.21,14.559,119.1,12.2
17-02-2020,17:22:02,20.11,9.14,53.7,426,2347,277,0.21,14.56,119.4,12.2
17-02-2020,17:22:12,20.11,9.15,54.9,427,2342,277,0.21,14.561,119.7,12.8
17-02-2020,17:22:22,20.11,9.14,56.1,426,2347,277,0.21,14.561,119.9,12.4
17-02-2020,17:22:32,20.11,9.15,57.2,426,2347,277,0.21,14.562,119.9,12.7
17-02-2020,17:22:42,20.12,9.14,58.4,426,2347,277,0.21,14.561,120.1,12.9
17-02-2020,17:22:52,20.12,9.14,59.5,426,2347,277,0.21,14.561,120.2,12.7
17-02-2020,17:23:02,20.11,9.14,60.5,426,2347,277,0.21,14.561,120.3,12.9
17-02-2020,17:23:12,20.12,9.14,61.6,426,2347,277,0.21,14.56,120.2,12.9
17-02-2020,17:23:22,20.12,9.14,62.7,426,2347,277,0.21,14.561,120.2,13.2
17-02-2020,17:23:32,20.12,9.14,63.6,426,2347,277,0.21,14.562,120.2,12.5
17-02-2020,17:23:42,20.12,9.14,64.5,426,2347,277,0.21,14.562,120.3,12.6
17-02-2020,17:23:52,20.12,9.14,65.4,426,2347,277,0.21,14.56,120.4,12.6
17-02-2020,17:24:02,20.12,9.14,66.4,426,2347,277,0.2,14.562,120.5,12.7
17-02-2020,17:24:12,20.12,9.14,67.3,426,2347,277,0.21,14.559,120.5,12.6
17-02-2020,17:24:22,20.12,9.14,68.1,426,2347,277,0.2,14.564,120.6,12.8
17-02-2020,17:24:32,20.12,9.14,69,426,2347,277,0.21,14.559,120.6,12.9
17-02-2020,17:24:42,20.12,9.14,69.8,426,2347,277,0.2,14.559,120.7,12.8
17-02-2020,17:24:52,20.12,9.14,70.6,426,2347,277,0.21,14.562,120.7,12.7
17-02-2020,17:25:02,20.12,9.14,71.4,426,2347,277,0.2,14.563,120.9,13
17-02-2020,17:25:12,20.09,9.13,72.3,426,2347,277,0.21,14.561,120.5,12.8
17-02-2020,17:25:22,20.06,9.11,73.4,426,2347,277,0.21,14.559,120,12.8
17-02-2020,17:25:32,20.02,9.09,74.5,426,2347,277,0.21,14.558,119.3,12.9
17-02-2020,17:25:42,19.98,9.08,75.6,427,2342,278,0.21,14.559,118.5,13
17-02-2020,17:25:52,19.98,9.08,76.4,427,2342,277,0.21,14.558,118.1,13
17-02-2020,17:26:02,19.97,9.07,77.1,427,2342,278,0.21,14.56,117.4,13
17-02-2020,17:26:12,19.96,9.06,77.9,427,2342,278,0.21,14.562,116.9,13.1
17-02-2020,17:26:22,19.95,9.06,78.6,427,2342,278,0.21,14.561,116.6,12.8
17-02-2020,17:26:32,19.95,9.06,79.1,427,2342,278,0.21,14.562,116.5,13.1
17-02-2020,17:26:42,19.96,9.06,79.6,426,2347,277,0.21,14.56,116.4,13.3
17-02-2020,17:26:52,19.97,9.06,80.1,426,2347,277,0.21,14.559,116.5,13
17-02-2020,17:27:02,19.96,9.06,80.7,426,2347,277,0.21,14.558,116.4,13.1
17-02-2020,17:27:12,19.97,9.06,81.1,426,2347,277,0.21,14.56,116.4,12.6
17-02-2020,17:27:22,19.97,9.06,81.7,426,2347,277,0.21,14.559,116.5,13
17-02-2020,17:27:32,19.96,9.06,82.2,426,2347,277,0.21,14.562,116.4,12.9
17-02-2020,17:27:42,19.97,9.06,82.7,426,2347,277,0.21,14.56,116.5,13.3
17-02-2020,17:27:52,19.96,9.06,83.2,426,2347,277,0.21,14.56,116.5,12.9
17-02-2020,17:28:02,19.96,9.06,83.6,426,2347,277,0.21,14.56,116.5,13.1
17-02-2020,17:28:12,19.97,9.06,83.9,426,2347,277,0.21,14.559,116.6,12.7
17-02-2020,17:28:22,20,9.08,84.1,426,2347,277,0.21,14.557,117.2,12.6
17-02-2020,17:28:32,20.04,9.1,84.1,426,2347,277,0.2,14.559,118.1,13.1
17-02-2020,17:28:42,20.08,9.11,84.2,425,2353,277,0.2,14.557,118.8,13.2
17-02-2020,17:28:52,20.11,9.12,84.4,425,2353,276,0.2,14.56,119.7,12.7
17-02-2020,17:29:02,20.12,9.12,84.8,425,2353,276,0.2,14.559,120.1,12.7
17-02-2020,17:29:12,20.12,9.12,85.3,425,2353,276,0.2,14.559,120.3,12.8
17-02-2020,17:29:22,20.12,9.12,85.8,425,2353,276,0.2,14.56,120.5,12.8
17-02-2020,17:29:32,20.12,9.12,86.2,424,2358,276,0.2,14.56,120.6,12.7
17-02-2020,17:29:42,20.13,9.12,86.7,424,2358,276,0.2,14.56,120.7,12.7
17-02-2020,17:29:52,20.13,9.12,87.1,424,2358,276,0.2,14.558,120.9,13.1
17-02-2020,17:30:02,20.13,9.12,87.6,424,2358,276,0.2,14.56,121,12.7
17-02-2020,17:30:12,20.12,9.12,88,424,2358,276,0.2,14.558,121.1,13.1
17-02-2020,17:30:22,20.12,9.12,88.5,424,2358,276,0.2,14.559,121.2,12.8
17-02-2020,17:30:32,20.12,9.12,88.8,424,2358,276,0.2,14.56,121.1,12.6
17-02-2020,17:30:42,20.11,9.12,89.4,424,2358,275,0.2,14.558,121.2,12.7
17-02-2020,17:30:52,20.07,9.11,90,424,2358,276,0.2,14.557,120.6,13.1
17-02-2020,17:31:02,20.02,9.09,90.8,425,2353,276,0.2,14.558,119.5,12.9
17-02-2020,17:31:12,19.98,9.06,91.9,425,2353,276,0.2,14.558,118.7,13.3
17-02-2020,17:31:22,20.01,9.08,91.7,425,2353,276,0.2,14.559,118.7,12.7
17-02-2020,17:31:32,19.99,9.06,92.8,426,2347,277,0.2,14.56,118.5,13.3
17-02-2020,17:31:42,20.01,9.08,92.3,425,2353,276,0.2,14.559,118.1,12.8
17-02-2020,17:31:52,20.01,9.07,92.6,428,2336,278,0.21,14.562,118.7,12.4
17-02-2020,17:32:02,19.99,9.06,93.4,428,2336,278,0.21,14.561,118,13.1
17-02-2020,17:32:12,20,9.04,94,430,2326,279,0.21,14.56,117.5,13.3
17-02-2020,17:32:22,20.07,9.04,93.6,431,2320,280,0.21,14.56,117.7,14.4
17-02-2020,17:32:32,20.07,9.04,93.5,431,2320,280,0.21,14.56,117.6,13.9
17-02-2020,17:32:42,20.09,9.05,93.4,431,2320,280,0.21,14.558,117.5,14.8
17-02-2020,17:32:52,20.11,9.05,93.3,431,2320,280,0.21,14.559,117.6,14.3
17-02-2020,17:33:02,20.11,9.05,93.6,431,2320,280,0.21,14.558,117.6,14.6
17-02-2020,17:33:12,20.08,9.04,93.8,430,2326,280,0.21,14.555,117.2,14.5
17-02-2020,17:33:22,20.07,9.04,93.9,430,2326,280,0.21,14.56,116.9,14.3
17-02-2020,17:33:32,20.07,9.04,94.1,430,2326,279,0.21,14.559,116.9,14.3
17-02-2020,17:33:42,20.05,9.03,94.4,430,2326,280,0.21,14.555,117.3,14.4
17-02-2020,17:33:52,20,9.04,94.3,428,2336,278,0.21,14.557,117.3,14.1
17-02-2020,17:34:02,19.98,9.05,94.8,428,2336,278,0.21,14.556,117.3,12.7
17-02-2020,17:34:12,20.01,9.04,95.3,430,2326,279,0.21,14.555,117.3,14.1
17-02-2020,17:34:22,20.02,9.04,95.3,430,2326,279,0.21,14.554,117.5,13.6
17-02-2020,17:34:32,20,9.05,95.5,429,2331,279,0.21,14.556,117.6,13.4
17-02-2020,17:34:42,19.99,9.05,95.7,429,2331,279,0.21,14.556,117.6,15.1
17-02-2020,17:34:52,19.99,9.05,95.9,428,2336,278,0.21,14.558,117.6,13.4
17-02-2020,17:35:02,20,9.04,96.3,429,2331,279,0.21,14.556,117.6,13.5
17-02-2020,17:35:12,20,9.04,96.5,429,2331,279,0.21,14.555,117.6,13.5
17-02-2020,17:35:22,20.01,9.04,96.7,430,2326,279,0.21,14.555,117.6,13.8
17-02-2020,17:35:32,20.06,9.04,96.6,430,2326,280,0.21,14.558,117.8,13.9
17-02-2020,17:35:42,20.03,9.04,96.7,430,2326,279,0.21,14.555,117.9,13.9
17-02-2020,17:35:52,20.03,9.04,96.8,430,2326,279,0.21,14.557,117.9,13.9
17-02-2020,17:36:02,20.02,9.04,97.1,430,2326,280,0.21,14.559,117.9,14.3
17-02-2020,17:36:12,20.06,9.05,97,430,2326,280,0.21,14.557,118.1,14.6
17-02-2020,17:36:22,20.08,9.04,97,430,2326,279,0.21,14.555,118.5,14.9
17-02-2020,17:36:32,20.08,9.04,97.1,430,2326,279,0.21,14.558,118.5,14.8
17-02-2020,17:36:42,20.07,9.04,97.3,429,2331,279,0.21,14.557,118.6,14.7
17-02-2020,17:36:52,20.04,9.04,97.5,429,2331,279,0.21,14.553,118.4,14.1
17-02-2020,17:37:02,20.03,9.04,97.7,429,2331,279,0.21,14.555,118.3,14.1
17-02-2020,17:37:12,20.02,9.04,97.9,428,2336,278,0.21,14.555,118.2,13.9
17-02-2020,17:37:22,20.01,9.05,98,427,2342,278,0.21,14.553,118.3,12.7
17-02-2020,17:37:32,20,9.05,98.3,428,2336,278,0.21,14.555,118.3,13
17-02-2020,17:37:42,20.03,9.05,98.4,427,2342,278,0.21,14.557,118.5,13
17-02-2020,17:37:52,20.07,9.05,98.5,429,2331,279,0.21,14.557,118.6,14.2
17-02-2020,17:38:02,20.09,9.05,98.4,429,2331,279,0.21,14.556,118.9,14.3
17-02-2020,17:38:12,20.12,9.05,98.5,429,2331,279,0.21,14.555,119.3,14.4
17-02-2020,17:38:22,20.1,9.05,98.6,429,2331,279,0.21,14.56,119.3,15.2
17-02-2020,17:38:32,20.1,9.05,98.7,429,2331,279,0.21,14.56,119.5,14.3
17-02-2020,17:38:42,20.08,9.05,98.8,429,2331,279,0.21,14.558,119.3,15.8
17-02-2020,17:38:52,20.08,9.05,99,429,2331,279,0.21,14.558,119.2,15.3
17-02-2020,17:39:02,20.04,9.05,99.2,428,2336,278,0.21,14.557,118.9,13.4
17-02-2020,17:39:12,20.02,9.05,99.7,428,2336,278,0.21,14.555,118.9,13.5
17-02-2020,17:39:22,20.01,9.06,99.6,427,2342,278,0.21,14.556,119,12.9
17-02-2020,17:39:32,20.04,9.05,99.7,429,2331,279,0.21,14.554,118.9,14
17-02-2020,17:39:42,20.03,9.06,99.8,429,2331,279,0.21,14.554,118.8,12.8
17-02-2020,17:39:52,20.07,9.05,100.1,429,2331,279,0.21,14.552,118.8,13.7
17-02-2020,17:40:02,20.03,9.05,100.4,429,2331,279,0.21,14.555,118.6,13.5
17-02-2020,17:40:12,20.05,9.05,100.5,429,2331,279,0.21,14.558,118.7,13.5
17-02-2020,17:40:22,20.08,9.05,100.6,429,2331,279,0.21,14.556,118.7,14.1
17-02-2020,17:40:32,20.08,9.05,100.6,430,2326,279,0.21,14.554,118.5,13.8
17-02-2020,17:40:42,20.06,9.05,100.8,429,2331,279,0.21,14.557,118.5,14.7
17-02-2020,17:40:52,20.06,9.05,100.9,429,2331,279,0.21,14.555,118.3,13.9
17-02-2020,17:41:02,20.06,9.05,101,429,2331,279,0.21,14.557,118.4,13.9
17-02-2020,17:41:12,20.07,9.05,101.1,429,2331,279,0.21,14.556,118.8,13.7
17-02-2020,17:41:22,20.08,9.05,101.3,430,2326,279,0.21,14.555,119,14.6
